Week,Phase,Block Theme,Weekly Theme,Adult Video Title,Adult URL,Teen Video Title,Teen URL,Kids Video Title,Kids URL,Kids Picture Book
16,2,Unlearn,The Forgiveness Loop,Fred Luskin: Stanford Forgiveness Project,https://www.youtube.com/watch?v=Ik_V3UIqoQ0,Fred Luskin: Stanford Forgiveness Project,https://www.youtube.com/watch?v=Ik_V3UIqoQ0,,,Enemy Pie by Derek Munson
17,2,Unlearn,Forgiving Yourself,Kristin Neff: Self-Esteem vs Self-Compassion,https://www.youtube.com/watch?v=IvtZBUSplr4,Kristin Neff: Self-Esteem vs Self-Compassion,https://www.youtube.com/watch?v=IvtZBUSplr4,,,Sorry! by Trudy Ludwig
18,2,Unlearn,Rewiring the Critic — Building the Inner Coach,RSA: Growth Mindset vs Fixed Mindset,https://www.youtube.com/watch?v=pN34FNbOKXc,RSA: Growth Mindset vs Fixed Mindset,https://www.youtube.com/watch?v=pN34FNbOKXc,,,The Girl Who Never Made Mistakes by Mark Pett
19,2,Unlearn,Breaking the People-Pleasing Pattern,Nedra Glover Tawwab: Boundaries,https://www.youtube.com/watch?v=MIte_1vcOqs,Nedra Glover Tawwab: Boundaries,https://www.youtube.com/watch?v=MIte_1vcOqs,,,My Body Belongs to Me by Jill Starishevsky
20,2,Unlearn,Unlearning Scarcity — There Is Enough,Brené Brown: The Power of Vulnerability (or Mullainathan: The Scarcity Trap),https://www.youtube.com/watch?v=iCvmsMzlF7o,Brené Brown: The Power of Vulnerability (or Mullainathan: The Scarcity Trap),https://www.youtube.com/watch?v=iCvmsMzlF7o,,,Have You Filled a Bucket Today? by Carol McCloud
21,2,Unlearn,The Relationships That Shaped You,Attachment Theory (explainer),https://www.youtube.com/watch?v=WjOowWxOXCg,Attachment Theory (explainer),https://www.youtube.com/watch?v=WjOowWxOXCg,,,Wilfred Gordon McDonald Partridge by Mem Fox
22,2,Unlearn,Setting Down the Armour,Brené Brown: The Power of Vulnerability,https://www.youtube.com/watch?v=iCvmsMzlF7o,Brené Brown: The Power of Vulnerability,https://www.youtube.com/watch?v=iCvmsMzlF7o,,,The Rabbit Listened by Cori Doerrfeld
23,2,Unlearn,Grief and Growth — What Endings Make Possible,David Kessler: Finding Meaning — The Sixth Stage of Grief,https://www.youtube.com/watch?v=khkJkR-ipfw,David Kessler: Finding Meaning — The Sixth Stage of Grief,https://www.youtube.com/watch?v=khkJkR-ipfw,,,The Goodbye Book by Todd Parr
24,2,Unlearn,Rewiring Fear — From Threat to Signal,Kelly McGonigal: How to Make Stress Your Friend,https://www.youtube.com/watch?v=RcGyVTAoXEU,Kelly McGonigal: How to Make Stress Your Friend,https://www.youtube.com/watch?v=RcGyVTAoXEU,,,Jabari Jumps by Gaia Cornwall
25,2,Unlearn,The Stories That No Longer Serve,Brené Brown / Dan McAdams: Narrative Identity,https://www.youtube.com/watch?v=D9Ihs241zeg,Brené Brown / Dan McAdams: Narrative Identity,https://www.youtube.com/watch?v=D9Ihs241zeg,,,Beautiful Oops by Barney Saltzberg
26,2,Unlearn,Integration — What We Have Released,David Foster Wallace: This Is Water,https://www.youtube.com/watch?v=sPOuCd6cBao,David Foster Wallace: This Is Water,https://www.youtube.com/watch?v=sPOuCd6cBao,,,"Oh, the Places You'll Go! by Dr Seuss"
27,3,Rebuild,Who Are You Now? — Rebuilding Identity,Tim Ferriss / Dan McAdams: Narrative Identity,https://www.youtube.com/watch?v=iG9CE55wbtY,Tim Ferriss / Dan McAdams: Narrative Identity,https://www.youtube.com/watch?v=iG9CE55wbtY,,,I Am Human by Susan Verde
28,3,Rebuild,What Do You Actually Value?,Russ Harris: ACT Values,https://www.youtube.com/watch?v=jHeeHg_MXNE,Russ Harris: ACT Values,https://www.youtube.com/watch?v=jHeeHg_MXNE,,,Those Shoes by Maribeth Boelts
29,3,Rebuild,The Habits That Build You,James Clear: Atomic Habits (summary),https://www.youtube.com/watch?v=W1eYrhGeffc,James Clear: Atomic Habits (summary),https://www.youtube.com/watch?v=W1eYrhGeffc,,,"Rosie Revere, Engineer by Andrea Beaty"
30,3,Rebuild,Your Body as Foundation,Matthew Walker: Sleep Is Your Superpower,https://www.youtube.com/watch?v=5MuIMqhT8oY,Matthew Walker: Sleep Is Your Superpower,https://www.youtube.com/watch?v=5MuIMqhT8oY,,,I Am Yoga by Susan Verde
31,3,Rebuild,The People You Choose,Robert Waldinger: What Makes a Good Life?,https://www.youtube.com/watch?v=q4g_cxMWnMk,Robert Waldinger: What Makes a Good Life?,https://www.youtube.com/watch?v=q4g_cxMWnMk,,,Charlotte's Web by E.B. White
32,3,Rebuild,How You Speak to Yourself,Ethan Kross: Chatter / Self-Talk,https://www.youtube.com/watch?v=NiuDFBNDoSk,Ethan Kross: Chatter / Self-Talk,https://www.youtube.com/watch?v=NiuDFBNDoSk,,,I Am Enough by Grace Byers
33,3,Rebuild,Creating Structure That Serves You,Cal Newport: Deep Work / Time Blocking,https://www.youtube.com/watch?v=gTaJhjQHcf8,Cal Newport: Deep Work / Time Blocking,https://www.youtube.com/watch?v=gTaJhjQHcf8,,,Bedtime for Frances by Russell Hoban
34,3,Rebuild,"Rest as a Practice, Not a Reward",Alex Soojung-Kim Pang: Rest / Deliberate Rest,https://www.youtube.com/watch?v=9y1xyXtYAsg,Alex Soojung-Kim Pang: Rest / Deliberate Rest,https://www.youtube.com/watch?v=9y1xyXtYAsg,,,The Rabbit Listened by Cori Doerrfeld
35,3,Rebuild,Creativity and Expression,Elizabeth Gilbert: Your Elusive Creative Genius,https://www.youtube.com/watch?v=iG9CE55wbtY,Elizabeth Gilbert: Your Elusive Creative Genius,https://www.youtube.com/watch?v=iG9CE55wbtY,,,The Dot by Peter Reynolds
36,3,Rebuild,Purpose — What You're Here For,Scott Dinsmore: How to Find Work You Love,https://www.youtube.com/watch?v=fLJsdqxnZb0,Scott Dinsmore: How to Find Work You Love,https://www.youtube.com/watch?v=fLJsdqxnZb0,,,The Jelly That Wouldn't Wiggle by Angela Dalton
37,3,Rebuild,"Money, Abundance and Your Relationship With Resources",Brad Klontz: Money Scripts,https://www.youtube.com/watch?v=8gxNHkQBkF8,Brad Klontz: Money Scripts,https://www.youtube.com/watch?v=8gxNHkQBkF8,,,Those Shoes by Maribeth Boelts
38,3,Rebuild,The Community You Build,Robert Waldinger: What Makes a Good Life?,https://www.youtube.com/watch?v=q4g_cxMWnMk,Robert Waldinger: What Makes a Good Life?,https://www.youtube.com/watch?v=q4g_cxMWnMk,,,Last Stop on Market Street by Matt de la Peña
39,3,Rebuild,Integration — Who You Are Becoming,David Foster Wallace: This Is Water,https://www.youtube.com/watch?v=sPOuCd6cBao,David Foster Wallace: This Is Water,https://www.youtube.com/watch?v=sPOuCd6cBao,,,"Oh, the Places You'll Go! by Dr Seuss"
40,4,Live It,From Self-Development to Service,Viktor Frankl on Meaning / service & wellbeing (verify),https://www.youtube.com/watch?v=lmyZMtPVodo,Viktor Frankl on Meaning / service & wellbeing (verify),https://www.youtube.com/watch?v=lmyZMtPVodo,,,Each Kindness by Jacqueline Woodson
41,4,Live It,Teaching What You've Learned,The Feynman Technique / Protégé Effect (verify),https://www.youtube.com/watch?v=FLbqzbAaEiI,The Feynman Technique / Protégé Effect (verify),https://www.youtube.com/watch?v=FLbqzbAaEiI,,,Zen Shorts by Jon J. Muth
42,4,Live It,The Courage to Be Seen,Brené Brown: The Power of Vulnerability,https://www.youtube.com/watch?v=iCvmsMzlF7o,Brené Brown: The Power of Vulnerability,https://www.youtube.com/watch?v=iCvmsMzlF7o,,,Perfectly Norman by Tom Percival
43,4,Live It,Living Your Values Under Pressure,Russ Harris: ACT Values (moral courage under pressure),https://www.youtube.com/watch?v=jHeeHg_MXNE,Russ Harris: ACT Values (moral courage under pressure),https://www.youtube.com/watch?v=jHeeHg_MXNE,,,Wonder by R.J. Palacio
44,4,Live It,Conflict as a Growth Practice,Marshall Rosenberg: Nonviolent Communication,https://www.youtube.com/watch?v=l7ToNudVd2I,Marshall Rosenberg: Nonviolent Communication,https://www.youtube.com/watch?v=l7ToNudVd2I,,,Enemy Pie by Derek Munson
45,4,Live It,Generosity as a Way of Being,Adam Grant: Are You a Giver or a Taker?,https://www.youtube.com/watch?v=M7SBFnFvPeY,Adam Grant: Are You a Giver or a Taker?,https://www.youtube.com/watch?v=M7SBFnFvPeY,,,Have You Filled a Bucket Today? by Carol McCloud
46,4,Live It,Enough — Living From Sufficiency,Lynne Twist: The Soul of Money / Sufficiency (verify),https://www.youtube.com/watch?v=oHGKTZSe_k4,Lynne Twist: The Soul of Money / Sufficiency (verify),https://www.youtube.com/watch?v=oHGKTZSe_k4,,,The Grateful Ninja by Mary Nhin
47,4,Live It,The Long Game — Patience and Persistence,Angela Duckworth: Grit,https://www.youtube.com/watch?v=TQMbvJNRpLE,Angela Duckworth: Grit,https://www.youtube.com/watch?v=TQMbvJNRpLE,,,The Little Engine That Could by Watty Piper
48,4,Live It,Leaving People Better Than You Found Them,Cleveland Clinic: Empathy — The Human Connection,https://www.youtube.com/watch?v=cDDWvj_q-o8,Cleveland Clinic: Empathy — The Human Connection,https://www.youtube.com/watch?v=cDDWvj_q-o8,,,Ordinary Mary's Extraordinary Deed by Emily Pearson
49,4,Live It,Your Legacy — What You're Building Beyond Yourself,Generativity (Erikson) / Covey: Begin With the End in Mind (verify),https://www.youtube.com/watch?v=qp0HIF3SfI4,Generativity (Erikson) / Covey: Begin With the End in Mind (verify),https://www.youtube.com/watch?v=qp0HIF3SfI4,,,The Giving Tree by Shel Silverstein
50,4,Live It,"Gratitude as a Practice, Not a Feeling",Robert Emmons: The Science of Gratitude,https://www.youtube.com/watch?v=WPPPFqsECz0,Robert Emmons: The Science of Gratitude,https://www.youtube.com/watch?v=WPPPFqsECz0,,,Grateful by Debbie Wagenbach
51,4,Live It,The Ongoing Practice — There Is No Arrival,David Foster Wallace: This Is Water,https://www.youtube.com/watch?v=sPOuCd6cBao,David Foster Wallace: This Is Water,https://www.youtube.com/watch?v=sPOuCd6cBao,,,"Oh, the Places You'll Go! by Dr Seuss"
52,4,Live It,Integration — A Year of Becoming,David Foster Wallace: This Is Water,https://www.youtube.com/watch?v=sPOuCd6cBao,David Foster Wallace: This Is Water,https://www.youtube.com/watch?v=sPOuCd6cBao,,,"Oh, the Places You'll Go! by Dr Seuss"
