Track,Week,Phase,Weekly Theme,Session Title,What the week is about,Video length / style,Current video ID,Reused?,Action,Also used by weeks,NEW VIDEO URL,Notes
Child,12,1,The Habit Loop — How We Got Here,The Habit Path,A habit is something we do so often that we start doing it without even thinking! Some habits are really good — like brushing teeth. Some habits might not help us as much. Today we look at habits and figure out how they work.,3–6 min · animated or story-led · gentle (a read-aloud of the week's picture book is ideal),hpnI3MCTJSA,YES,KEEP,"29, 47",,"weeks 29, 47 will move off this one"
Child,13,1,Integration — What We Now See,Looking at Our Full Backpack,"We've been on a big adventure together for 13 weeks — looking at feelings, habits, patterns, and all sorts of things about ourselves. Today we celebrate how brave we've been, and get ready for the next exciting part of the journey.",3–6 min · animated or story-led · gentle (a read-aloud of the week's picture book is ideal),VWOgrMXBE4U,YES,KEEP,"26, 39, 51, 52",,"weeks 26, 39, 51, 52 will move off this one"
Child,14,2,The Permission You're Still Waiting For,Your Own GO Button,"Sometimes we don't try things because we're waiting for someone to say it's okay. But some of the best, most YOU things you could do — you already have permission for. Today we find out what you've been waiting to try.",3–6 min · animated or story-led · gentle (a read-aloud of the week's picture book is ideal),H14bBuluwB8,YES,KEEP,"15, 27",,"weeks 15, 27 will move off this one"
Child,15,2,Letting Go of Who You Were Supposed to Be,My Own Picture,"Sometimes grown-ups and other people have ideas about what we should be when we grow up, or how we should act, or what we should like. Those ideas come from love — but sometimes they're not exactly right for us. Today we explore what WE actually love and who WE actually are.",3–6 min · animated or story-led · gentle (a read-aloud of the week's picture book is ideal),H14bBuluwB8,YES,REPLACE,"14, 27",,duplicate of week 14
Child,16,2,The Forgiveness Loop,Putting Down the Hot Rock,"Sometimes people hurt our feelings or do things that aren't fair — and it can be really hard to stop feeling angry or sad about it. Today we talk about something called forgiveness — what it really means, and how it can help US feel better.",3–6 min · animated or story-led · gentle (a read-aloud of the week's picture book is ideal),7H2pBdLnmGs,YES,REPLACE,"9, 23, 49",,duplicate of week 9
Child,17,2,Forgiving Yourself,Say Sorry and Keep Going,"Sometimes we do things we feel really bad about — maybe we said something unkind or made a mistake that hurt someone. It's good to feel sorry. But today we learn that after we've said sorry and tried to make it right, we don't need to keep feeling bad forever.",3–6 min · animated or story-led · gentle (a read-aloud of the week's picture book is ideal),nDPHBzWBFBg,,KEEP,,,
Child,18,2,Rewiring the Critic — Building the Inner Coach,Making the Kind Voice Louder,"Remember the gremlin from a few weeks ago? Today we give more power to the OTHER voice — the kind, honest, encouraging one. We're going to build our own inner coach — a voice that's on our side AND tells us the truth.",3–6 min · animated or story-led · gentle (a read-aloud of the week's picture book is ideal),VXez46_LZSE,YES,KEEP,32,,weeks 32 will move off this one
Child,19,2,Breaking the People-Pleasing Pattern,Kind vs. People-Pleasing,"Sometimes we do things we don't really want to do, or say we're okay when we're not, just so other people feel happy. That's called people-pleasing — and while it feels kind, it can actually stop us from being honest and taking care of ourselves. Today we learn the difference between being kind and trying to make everyone happy all the time.",3–6 min · animated or story-led · gentle (a read-aloud of the week's picture book is ideal),IRVxOCKxDyI,YES,KEEP,"28, 43",,"weeks 28, 43 will move off this one"
Child,20,2,Unlearning Scarcity — There Is Enough,The Things That Don't Run Out,"Sometimes we worry that there isn't enough — enough time, enough love, enough things that are good. Today we practise noticing all the things there actually ARE enough of — and how our brains can sometimes trick us into thinking things are scarcer than they are.",3–6 min · animated or story-led · gentle (a read-aloud of the week's picture book is ideal),rrkrvAUbU9Y,YES,KEEP,"37, 40, 45, 46",,"weeks 37, 40, 45, 46 will move off this one"
Child,21,2,The Relationships That Shaped You,The Gifts People Give Us,"All the people in our lives — family, friends, teachers — teach us things about what being close to someone feels like. Some of those things are wonderful. Some might be a little confusing or hard. Today we think about the people who have shaped us most — and what we want to carry with us.",3–6 min · animated or story-led · gentle (a read-aloud of the week's picture book is ideal),9_1Rt1R4xbM,YES,REPLACE,"11, 31, 36, 44, 48",,duplicate of week 11
Child,22,2,Setting Down the Armour,The Shield With a Door,"Sometimes when we've been hurt before, we build a little protective wall around our heart — we might not share our real feelings, or we might try to look like nothing bothers us. Today we talk about why those walls go up, what they do, and when it might be safe to put a door in them.",3–6 min · animated or story-led · gentle (a read-aloud of the week's picture book is ideal),4eSBQFoVCJc,,KEEP,,,
Child,23,2,Grief and Growth — What Endings Make Possible,The Autumn Before Spring,"Sometimes things end or change — friends move away, pets die, families change, things we loved go away. It's completely normal and okay to feel really sad about those things. Today we learn that it's important to let ourselves feel sad — and that after the sadness, something new always becomes possible.",3–6 min · animated or story-led · gentle (a read-aloud of the week's picture book is ideal),7H2pBdLnmGs,YES,REPLACE,"9, 16, 49",,duplicate of week 9
Child,24,2,Rewiring Fear — From Threat to Signal,The Toast Alarm vs. The Real Fire,Everyone feels scared sometimes — and that's completely okay. Fear is actually really useful when it warns us about real danger. But sometimes our fear alarm goes off when things are just new or a bit uncomfortable — not actually dangerous. Today we learn to tell the difference!,3–6 min · animated or story-led · gentle (a read-aloud of the week's picture book is ideal),BVAaomgzFCM,YES,REPLACE,"3, 30",,duplicate of week 3
Child,25,2,The Stories That No Longer Serve,Updating the Photo Album,"Sometimes the things we believe about ourselves are a bit out of date — like a picture of you from when you were really little. The picture might have been true then, but it's not the whole picture of you now. Today we look at old stories and think about whether it's time to update them.",3–6 min · animated or story-led · gentle (a read-aloud of the week's picture book is ideal),0ZcfX2862XE,YES,REPLACE,"5, 7, 41",,duplicate of week 5
Child,26,2,Integration — What We Have Released,Putting Down the Heavy Things,"We've been on the second part of our big adventure — learning how to put down some heavy things, say sorry properly, be brave about our fears, and start telling new stories about ourselves. Today we celebrate everything we've let go — and get excited for the next part of the journey: building!",3–6 min · animated or story-led · gentle (a read-aloud of the week's picture book is ideal),VWOgrMXBE4U,YES,REPLACE,"13, 39, 51, 52",,duplicate of week 13
Child,27,3,Who Are You Now? — Rebuilding Identity,Who Are You Building?,We've been on a huge adventure learning about ourselves — now comes the most exciting part: BUILDING! Today we start thinking about who we are CHOOSING to be — the qualities and values that make us most us — and how to grow more of them.,3–6 min · animated or story-led · gentle (a read-aloud of the week's picture book is ideal),H14bBuluwB8,YES,REPLACE,"14, 15",,duplicate of week 14
Child,28,3,What Do You Actually Value?,Your Inner Compass,"Values are like the most important rules you make for yourself — not rules from other people, but the things YOU decide are most important about how you live and treat others. Today we find out what YOUR most important values are.",3–6 min · animated or story-led · gentle (a read-aloud of the week's picture book is ideal),IRVxOCKxDyI,YES,REPLACE,"19, 43",,duplicate of week 19
Child,29,3,The Habits That Build You,Watering Your Garden,Habits are things we practise so often they become automatic — we do them without even thinking. Today we think about the habits that GROW us — the small things we do every day that make us more of who we want to be.,3–6 min · animated or story-led · gentle (a read-aloud of the week's picture book is ideal),hpnI3MCTJSA,YES,REPLACE,"12, 47",,duplicate of week 12
Child,30,3,Your Body as Foundation,Charging Your Superhero Suit,"Our bodies are the most amazing machines — they need certain things to work really well: good sleep, movement, healthy food, and ways to calm down when we feel stressed. Today we learn how to take care of our bodies so they can help us feel and be our best.",3–6 min · animated or story-led · gentle (a read-aloud of the week's picture book is ideal),BVAaomgzFCM,YES,REPLACE,"3, 24",,duplicate of week 3
Child,31,3,The People You Choose,Growing Friends,"The people we spend time with help shape who we become — because we learn from them, we pick up their habits and feelings, and we become more ourselves (or less ourselves) depending on who we're around. Today we think about the people in our lives who help us grow — and how to be that kind of person for others.",3–6 min · animated or story-led · gentle (a read-aloud of the week's picture book is ideal),9_1Rt1R4xbM,YES,REPLACE,"11, 21, 36, 44, 48",,duplicate of week 11
Child,32,3,How You Speak to Yourself,Finding Your Power Phrases,"We've been building our inner coach — the kind, honest voice inside us. This week we practise using that voice every day. Today we design our personal 'power phrases' — the things we say to ourselves that help us feel brave, kind, and capable.",3–6 min · animated or story-led · gentle (a read-aloud of the week's picture book is ideal),VXez46_LZSE,YES,REPLACE,18,,duplicate of week 18
Child,33,3,Creating Structure That Serves You,Your Personal Rhythm,"Having a routine — a regular order for how we do things — actually helps us feel safer, calmer, and more able to enjoy the fun parts of our day. Today we think about the routines that help us the most — and maybe design some new ones.",3–6 min · animated or story-led · gentle (a read-aloud of the week's picture book is ideal),nj2ofrX7jAk,YES,REPLACE,"1, 4, 34",,duplicate of week 1
Child,34,3,"Rest as a Practice, Not a Reward",Rest Is a Superpower,"Rest is not just sleep — it's also the quiet, gentle times when our brain and body get to recover and refuel. Today we learn about the importance of rest, what real rest looks and feels like, and how to give our brain the recovery time it needs.",3–6 min · animated or story-led · gentle (a read-aloud of the week's picture book is ideal),nj2ofrX7jAk,YES,REPLACE,"1, 4, 33",,duplicate of week 1
Child,35,3,Creativity and Expression,The Joy of Making,"Making things — drawing, building, writing, singing, dancing, inventing — is one of the most wonderful things human beings can do. And everyone can do it! Today we celebrate creativity, remember what we love to make, and give ourselves permission to create without worrying about whether it's perfect.",3–6 min · animated or story-led · gentle (a read-aloud of the week's picture book is ideal),1iL3JOFqMQQ,,KEEP,,,
Child,36,3,Purpose — What You're Here For,Your Special Puzzle Piece,"Every person has gifts — things they're naturally good at, things they love, and ways they can help others. When we use our gifts to help and contribute, that's called purpose. Today we start discovering what our gifts are and how we can share them.",3–6 min · animated or story-led · gentle (a read-aloud of the week's picture book is ideal),9_1Rt1R4xbM,YES,REPLACE,"11, 21, 31, 44, 48",,duplicate of week 11
Child,37,3,"Money, Abundance and Your Relationship With Resources",What We Have and What We Share,"Money is something that grown-ups think about a lot — and most children hear messages about it without fully understanding them. Today we think about what we've been taught about money and resources, and what a healthy, kind relationship with what we have looks like.",3–6 min · animated or story-led · gentle (a read-aloud of the week's picture book is ideal),rrkrvAUbU9Y,YES,REPLACE,"20, 40, 45, 46",,duplicate of week 20
Child,38,3,The Community You Build,Being Part of Something Bigger,"We all belong to communities — our family, our class, our sports team, our neighbourhood. A good community is one where people care for each other, help each other, and make each other feel like they belong. Today we think about the communities we're part of — and how to make them better.",3–6 min · animated or story-led · gentle (a read-aloud of the week's picture book is ideal),YRaVl-VjF2g,YES,REPLACE,10,,duplicate of week 10
Child,39,3,Integration — Who You Are Becoming,Look What We've Built!,We've been building for 13 weeks! Today we celebrate everything we've grown and built — and get ready for the most exciting phase yet: going out into the world and USING everything we've built to make things better.,3–6 min · animated or story-led · gentle (a read-aloud of the week's picture book is ideal),VWOgrMXBE4U,YES,REPLACE,"13, 26, 51, 52",,duplicate of week 13
Child,40,4,From Self-Development to Service,Sharing the Treasure,"We've spent all year learning about ourselves — our feelings, our habits, our strengths, and our values. Now comes the most exciting part: using everything we've learned to make things better for the people around us! Today we think about how to share our superpowers with the world.",3–6 min · animated or story-led · gentle (a read-aloud of the week's picture book is ideal),rrkrvAUbU9Y,YES,REPLACE,"20, 37, 45, 46",,duplicate of week 20
Child,41,4,Teaching What You've Learned,Becoming a Teacher,"One of the best ways to really know something is to teach it to someone else. Today we practise sharing the things we've learned this year — with our families, our friends, and our community. When we teach, we learn even more deeply!",3–6 min · animated or story-led · gentle (a read-aloud of the week's picture book is ideal),0ZcfX2862XE,YES,REPLACE,"5, 7, 25",,duplicate of week 5
Child,42,4,The Courage to Be Seen,"The Real You, All the Way","Being seen means letting people know who you really are — not just the brave face or the happy face, but the real you, with all your feelings and ideas and wonderfulness. Today we practise the courage of being genuinely, fully ourselves in front of the people we care about.",3–6 min · animated or story-led · gentle (a read-aloud of the week's picture book is ideal),iG9CE55wbtY,,KEEP,,,
Child,43,4,Living Your Values Under Pressure,Compass in the Storm,Sometimes it's hard to do the right thing — especially when other people want us to do something different. Today we practise staying true to our values compass even when it's challenging. Because that's when our compass matters most.,3–6 min · animated or story-led · gentle (a read-aloud of the week's picture book is ideal),IRVxOCKxDyI,YES,REPLACE,"19, 28",,duplicate of week 19
Child,44,4,Conflict as a Growth Practice,The Gentle Untangle,"Sometimes we disagree with people — friends, family, classmates. That's completely normal! Today we learn that disagreements don't have to break friendships. We can learn how to talk about what we need and listen to what others need — and often find a way that works for everyone.",3–6 min · animated or story-led · gentle (a read-aloud of the week's picture book is ideal),9_1Rt1R4xbM,YES,REPLACE,"11, 21, 31, 36, 48",,duplicate of week 11
Child,45,4,Generosity as a Way of Being,Gifts That Grow,"Generosity means giving something to others — and it doesn't have to be something you buy! Time, kindness, attention, encouragement, help — these are some of the most powerful gifts there are. And here's the amazing thing: the more you give these things, the happier YOU feel too!",3–6 min · animated or story-led · gentle (a read-aloud of the week's picture book is ideal),rrkrvAUbU9Y,YES,REPLACE,"20, 37, 40, 46",,duplicate of week 20
Child,46,4,Enough — Living From Sufficiency,Noticing the Garden,"Today we practise something really important: being happy with what we have, right now — not because we stop wanting to grow and get better, but because we stop being so focused on what we don't have that we miss all the wonderful things that ARE here.",3–6 min · animated or story-led · gentle (a read-aloud of the week's picture book is ideal),rrkrvAUbU9Y,YES,REPLACE,"20, 37, 40, 45",,duplicate of week 20
Child,47,4,The Long Game — Patience and Persistence,Keep Watering the Plant,"Some of the most important things take a long time to grow — like trees, like friendships, like becoming really good at something. Today we learn about patience, persistence, and why showing up every day — even when things are hard — is one of the most powerful things you can do.",3–6 min · animated or story-led · gentle (a read-aloud of the week's picture book is ideal),hpnI3MCTJSA,YES,REPLACE,"12, 29",,duplicate of week 12
Child,48,4,Leaving People Better Than You Found Them,Being a Sunshine Person,"One of the most wonderful things you can do is make people feel better just by being with them. Not by saying the perfect thing or doing something big — just by being kind, paying attention, and making people feel like they matter. Today we practise being that kind of person.",3–6 min · animated or story-led · gentle (a read-aloud of the week's picture book is ideal),9_1Rt1R4xbM,YES,REPLACE,"11, 21, 31, 36, 44",,duplicate of week 11
Child,49,4,Your Legacy — What You're Building Beyond Yourself,Your Ripples,"Even at your age, you are leaving something in the world — in how you treat your friends, how you show kindness, what you teach younger children, the ripples of what you do every day. Today we think about the mark you want to leave on the world around you.",3–6 min · animated or story-led · gentle (a read-aloud of the week's picture book is ideal),7H2pBdLnmGs,YES,REPLACE,"9, 16, 23",,duplicate of week 9
Child,50,4,"Gratitude as a Practice, Not a Feeling",Training the Gratitude Camera,"Gratitude means really noticing and appreciating the good things in your life. Not just saying 'thank you' — actually stopping and feeling genuinely thankful. Today we learn a special gratitude superpower: when you practise noticing good things, you actually start to notice MORE good things — and that makes life feel much richer.",3–6 min · animated or story-led · gentle (a read-aloud of the week's picture book is ideal),WPPPFqsECz0,,KEEP,,,
Child,51,4,The Ongoing Practice — There Is No Arrival,The Adventure Continues,"Growing up is not something you finish. Every day there are new things to discover, new ways to be kind and brave and curious, new things to learn about yourself and the world. Today we celebrate the fact that the adventure doesn't end — it just keeps getting richer.",3–6 min · animated or story-led · gentle (a read-aloud of the week's picture book is ideal),VWOgrMXBE4U,YES,REPLACE,"13, 26, 39, 52",,duplicate of week 13
Child,52,4,Integration — A Year of Becoming,The Best Kind of Ending,"We've been on an adventure together for a whole year! Today we celebrate everything we've seen, learned, let go of, built, and shared. And then we look forward — because this adventure doesn't end. It just becomes the rest of your beautiful, growing life.",3–6 min · animated or story-led · gentle (a read-aloud of the week's picture book is ideal),VWOgrMXBE4U,YES,REPLACE,"13, 26, 39, 51",,duplicate of week 13
Teen,1,1,The Signal and the Noise,Who's Actually Talking?,"You're surrounded by other people's opinions, social media, and expectations — so much that most of us don't know what we actually think or feel anymore. This session is about starting to notice the difference between what's genuinely yours and what you've absorbed.","4–8 min · a real person telling a real story · TED-Ed, a creator's own channel, or a short doc — no lecture",RcGyVTAoXEU,YES,KEEP,3,,weeks 3 will move off this one
Teen,2,1,The Stories We Carry,The Playlist You Didn't Choose,"A lot of the beliefs we have about ourselves — about our abilities, our worth, what's possible for us — weren't decided by us. They were handed to us. Today we figure out which stories are actually true versus which ones we've just been repeating.","4–8 min · a real person telling a real story · TED-Ed, a creator's own channel, or a short doc — no lecture",pN34FNbOKXc,YES,KEEP,18,,weeks 18 will move off this one
Teen,3,1,The Pattern Interrupt,The Chat You're Not Reading,You know those moments where you react to something and immediately think 'why did I do that'? That's the pattern. Today we figure out what's actually triggering your automatic reactions — and whether you can find the gap.,"4–8 min · a real person telling a real story · TED-Ed, a creator's own channel, or a short doc — no lecture",RcGyVTAoXEU,YES,REPLACE,1,,duplicate of week 1
Teen,4,1,What Your Body Is Telling You,Reading the Data Your Body Collects,"Your body is constantly sending you signals — about safety, stress, excitement, dread. Most of us learned to ignore them or push through. This week we learn to actually read what the body is saying.","4–8 min · a real person telling a real story · TED-Ed, a creator's own channel, or a short doc — no lecture",Ks-_Mh1QhMc,,KEEP,,,
Teen,5,1,The Mirror — How We See Ourselves,The Comparison Trap and the Real Mirror,"How we see ourselves shapes literally everything — the choices we make, the risks we take, the people we let in. Most teens have a self-image built from comparison, other people's opinions, and their worst moments. This week we build a more honest one.","4–8 min · a real person telling a real story · TED-Ed, a creator's own channel, or a short doc — no lecture",Lp7E973zozc,,KEEP,,,
Teen,6,1,The Comparison Loop,The Race With the Moving Finish Line,Comparison is the background noise of teen life — and social media has turned the volume up to maximum. But here's what most people don't know: the comparison loop literally never pays off. Not once. This week we find the exit.,"4–8 min · a real person telling a real story · TED-Ed, a creator's own channel, or a short doc — no lecture",P6FORpg0KVo,,KEEP,,,
Teen,7,1,The Inner Critic,Introducing the Heckler,"That voice in your head that says 'you're not good enough,' 'everyone can see how awkward you are,' 'you'll fail' — we all have one. Today we find out where it came from, why it does what it does, and why listening to it is optional.","4–8 min · a real person telling a real story · TED-Ed, a creator's own channel, or a short doc — no lecture",IvtZBUSplr4,YES,KEEP,17,,weeks 17 will move off this one
Teen,8,1,Beneath the Surface — Emotions as Data,Optimising the Notification System,"Feelings aren't weakness. They're not drama. They're data. Every emotion is trying to tell you something — about what you value, what you need, what your limits are. This week we learn to actually read them instead of either ignoring them or getting wrecked by them.","4–8 min · a real person telling a real story · TED-Ed, a creator's own channel, or a short doc — no lecture",tGdsOXZpyWE,,KEEP,,,
Teen,9,1,The Wounds We Carry,The Update Nobody Installed on Purpose,"All of us have been hurt — by experiences, relationships, or things that happened that we didn't fully understand. And some of those hurts are still shaping how we act today, even if we've never talked about them. This week we acknowledge what we carry — not to relive it, but to start understanding it.","4–8 min · a real person telling a real story · TED-Ed, a creator's own channel, or a short doc — no lecture",95ovIJ3dsNk,,KEEP,,,
Teen,10,1,The Masks We Wear,Which One Is Actually You?,"Pretty much everyone your age is performing — performing toughness, coolness, confidence, happiness, not-caring. Some of it is genuinely useful social navigation. But when you can't remember who you are underneath the performance, that's when it starts costing you. Today we look at the masks.","4–8 min · a real person telling a real story · TED-Ed, a creator's own channel, or a short doc — no lecture",IVlU-2OBdts,,KEEP,,,
Teen,11,1,Seeing Others Clearly,Turning Down the Projector,"Most of the drama in relationships — with friends, family, partners — isn't really about the other person. It's about what we're bringing to them from our own history. Today we develop the skill of actually seeing people — instead of just seeing our story about them.","4–8 min · a real person telling a real story · TED-Ed, a creator's own channel, or a short doc — no lecture",cDDWvj_q-o8,YES,KEEP,48,,weeks 48 will move off this one
Teen,12,1,The Habit Loop — How We Got Here,Understanding Autopilot,"About half of what you do every day isn't a decision — it's a habit running on autopilot. That's not bad. But it means if you want your life to look different, you need to understand how habits actually work — because 'trying harder' is the least effective strategy that exists.","4–8 min · a real person telling a real story · TED-Ed, a creator's own channel, or a short doc — no lecture",W1eYrhGeffc,YES,KEEP,"27, 29",,"weeks 27, 29 will move off this one"
Teen,13,1,Integration — What We Now See,The Diagnostic Is Complete,"You've done 13 weeks of genuinely hard looking. Not perfectly — nobody does it perfectly. But you've looked. Today we take stock of what's actually shifted, what you now see, and what you're taking into the next chapter. This is a threshold, not a finish line.","4–8 min · a real person telling a real story · TED-Ed, a creator's own channel, or a short doc — no lecture",jqONINYF17M,YES,KEEP,"26, 39",,"weeks 26, 39 will move off this one"
Teen,14,2,The Permission You're Still Waiting For,Admin Access Granted,A lot of the things you actually want to do — the things that feel most like you — you've been putting off because you're waiting for someone to say it's okay. A parent. A friend. The right feeling. Enough confidence. This week: that permission was always yours.,"4–8 min · a real person telling a real story · TED-Ed, a creator's own channel, or a short doc — no lecture",8CrOL-ydFMI,,KEEP,,,
Teen,15,2,Letting Go of Who You Were Supposed to Be,Default Settings,"There's probably a version of you that other people have planned out — a career path, a type of success, a kind of life. And there's the version of you that actually exists. This week we figure out which parts of your future belong to you — and which parts were handed to you without asking.","4–8 min · a real person telling a real story · TED-Ed, a creator's own channel, or a short doc — no lecture",NiuDFBNDoSk,YES,KEEP,32,,weeks 32 will move off this one
Teen,16,2,The Forgiveness Loop,Closing the Background Apps,Holding onto anger or resentment toward someone feels powerful — like you're making them pay. But research shows the only person actually paying is you. This week we look at what forgiveness actually means — and why it's one of the most self-interested things you can do.,"4–8 min · a real person telling a real story · TED-Ed, a creator's own channel, or a short doc — no lecture",Ik_V3UIqoQ0,,KEEP,,,
Teen,17,2,Forgiving Yourself,Closing the 2am Replay,"You know all those mistakes, embarrassments, and bad calls you keep replaying — especially at 2am? This week we talk about why being permanently hard on yourself isn't the same as accountability. And why the most powerful thing you can do is actually learn from something and then let it go.","4–8 min · a real person telling a real story · TED-Ed, a creator's own channel, or a short doc — no lecture",IvtZBUSplr4,YES,REPLACE,7,,duplicate of week 7
Teen,18,2,Rewiring the Critic — Building the Inner Coach,Building the Track,"Last time we met the inner critic. Now we do something with it. Not silence it forever — but replace it with something way more useful: a voice that's actually honest AND on your side. Think of the best coach, mentor, or teacher you've ever had. That's the voice we're building.","4–8 min · a real person telling a real story · TED-Ed, a creator's own channel, or a short doc — no lecture",pN34FNbOKXc,YES,REPLACE,2,,duplicate of week 2
Teen,19,2,Breaking the People-Pleasing Pattern,The Battery Drain,Do you ever agree to things you don't want to do just to avoid the awkwardness of saying no? Say things you don't mean to keep the peace? Pretend to be fine when you're not? That's people-pleasing — and it feels kind but it's actually one of the most exhausting and self-erasing things you can do. This week we look at where it comes from and how to start changing it.,"4–8 min · a real person telling a real story · TED-Ed, a creator's own channel, or a short doc — no lecture",MIte_1vcOqs,,KEEP,,,
Teen,20,2,Unlearning Scarcity — There Is Enough,The Resource Monitor,"There's a thought that runs constantly in the background for most people: not enough time, not enough success, not good enough. It drives comparison, competition, and the feeling that you're always slightly behind. This week we look at where that thought actually comes from — and whether it's actually true.","4–8 min · a real person telling a real story · TED-Ed, a creator's own channel, or a short doc — no lecture",RZWf2_2L2v8,,KEEP,,,
Teen,21,2,The Relationships That Shaped You,Auditing the Relationship Code,"You didn't choose your family, your early friendships, or the first people who taught you what love and trust look like. But those relationships installed some pretty powerful programmes about how you connect with people. Today we look at those programmes — and decide which ones to keep.","4–8 min · a real person telling a real story · TED-Ed, a creator's own channel, or a short doc — no lecture",WjOowWxOXCg,,KEEP,,,
Teen,22,2,Setting Down the Armour,Firewall Settings,"We all develop ways of protecting ourselves when things feel unsafe — humour, sarcasm, not caring, never letting anyone get too close. Those strategies made sense once. But if the armour never comes down, you end up safe and alone. This week we look at what you're protected against — and what you're also blocking.","4–8 min · a real person telling a real story · TED-Ed, a creator's own channel, or a short doc — no lecture",iCvmsMzlF7o,YES,KEEP,42,,weeks 42 will move off this one
Teen,23,2,Grief and Growth — What Endings Make Possible,What Deserved a Ceremony,"Grief isn't only about death. It's also about things ending — friendships that changed, versions of yourself you had to leave behind, futures you imagined that didn't happen. Most people were never taught how to grieve properly. This week we learn what grief actually requires — and why moving through it (not around it) is where growth lives.","4–8 min · a real person telling a real story · TED-Ed, a creator's own channel, or a short doc — no lecture",khkJkR-ipfw,,KEEP,,,
Teen,24,2,Rewiring Fear — From Threat to Signal,Updating the Alarm System,"Fear is useful — when it's pointing at real danger. But most of the fear that shapes our decisions isn't about real danger. It's about embarrassment, failure, judgment, and uncertainty. This week we learn to tell the difference — and to stop letting discomfort run disguised as danger.","4–8 min · a real person telling a real story · TED-Ed, a creator's own channel, or a short doc — no lecture",ZizdB0TgAVM,,KEEP,,,
